vaci,caci,chl,fsd,tsd,quality,alc,,
0.605,0.02,0.096,10,31,HIGH,11.8,,
0.5,0.09,0.115,10,42,LOW,9.5,,
0.74,0.08,0.094,10,45,LOW,9.8,,
0.54,0.3,0.088,9,105,HIGH,10.5,,
0.77,0.32,0.079,16,74,HIGH,9.8,,
0.61,0,0.069,4,8,LOW,10.4,,
0.78,0.51,0.415,12,66,LOW,9.2,,
0.58,0.56,0.153,5,14,HIGH,11.6,,
0.78,0.51,0.415,12,66,LOW,9.2,,
0.75,0.27,0.11,34,89,LOW,9.3,,
0.815,0,0.267,16,29,LOW,9.8,,
0.56,0.26,0.083,13,100,LOW,9.9,,
0.885,0.2,0.086,7,31,LOW,10,,
0.49,0.26,0.09,23,74,HIGH,12.2,,
0.45,0.15,0.078,10,28,HIGH,9.9,,
0.57,0.02,0.077,11,35,HIGH,10.8,,
0.57,0.02,0.077,11,35,HIGH,10.8,,
0.83,0.09,0.074,4,25,LOW,9.6,,
0.6,0.22,0.08,25,105,LOW,9.9,,
0.6,0.22,0.08,25,105,LOW,9.9,,
0.755,0.15,0.107,20,84,LOW,9.5,,
0.81,0.25,0.076,34,85,LOW,9.2,,
0.64,0.07,0.1,8,23,LOW,9.6,,
0.64,0.07,0.1,8,23,LOW,9.6,,
0.64,0.31,0.083,7,49,LOW,10.3,,
0.48,0.02,0.08,36,111,LOW,9.7,,
0.49,0,0.068,15,33,HIGH,12.5,,
0.64,0.22,0.094,5,33,LOW,11,,
0.62,0.06,0.07,5,12,LOW,9.8,,
0.52,0.25,0.078,19,59,LOW,10.2,,
0.57,0.14,0.07,27,73,LOW,9.2,,
0.685,0.1,0.092,3,12,HIGH,9.55,,
0.675,0.1,0.09,4,11,LOW,9.55,,
0.59,0.26,0.08,17,104,LOW,9.9,,
